ontologia-proj-alternativa,1,1,1,1,1
ontology-of-clinical-research-ocre-,2,1,1,1,1
parasite-experiment-ontology,3,109,1,1,1
systems-chemical-biology-chemogenomics,4,140,1,1,1
adverse-event-reporting-ontology,5,137,1.04379562,1,2
imgt-ontology,6,36,1.055555556,1,2
oboe-sbc,7,14,1.071428571,1,2
general-formal-ontology,8,113,1.097345133,1,2
biopax,9,10,1.2,1,2
cancer-research-and-management-acgt-master-ontology,10,11,1.272727273,1,2
oboe,11,195,1.307692308,1,2
cerebrotendinous-xanthomatosis,12,800,1.3925,1,4
pilot-ontology,13,762,1.395013123,1,4
phenotype-fragment-ontology,14,645,1.457364341,1,24
enzyme-mechanism-ontology,15,441,1.501133787,1,8
computational-neuroscience-ontology,16,20,1.6,1,3
vivo,17,4,1.75,1,3
gene-ontology-extension,18,380,1.75,1,5
non-randomized-controlled-trials-ontology,19,165,1.860606061,1,6
electrocardiography-ontology,20,85,1.894117647,1,4
nanoparticle-ontology,21,37,1.972972973,1,4
environment-ontology,22,2,2,2,2
ontology-for-genetic-interval,23,69,2,1,5
mged-ontology,24,564,2.069148936,1,10
biological-imaging-methods,25,165,2.266666667,1,30
amino-acid,26,18,2.444444444,2,3
ontology-of-medically-related-social-entities,27,250,2.916,1,14
snp-ontology,28,293,2.945392491,1,8
basic-formal-ontology,29,3,3,1,7
plant-anatomy,30,7,3,1,6
breast-cancer-grading-ontology,31,15,3,2,5
dikb-evidence-ontology,32,421,3.118764846,1,49
comparative-data-analysis-ontology,33,103,3.262135922,1,28
chemical-information-ontology,34,95,3.273684211,1,8
dendritic-cell,35,107,3.542056075,1,12
phare,36,423,3.68321513,1,16
cognitive-atlas,37,208,3.75,1,16
bioassay-ontology,38,461,3.882863341,1,8
plant-ontology,39,1,4,4,4
vertebrate-anatomy-ontology,40,107,4.289719626,1,16
mahco-an-mhc-ontology,41,530,4.29245283,1,16
sleep-domain-ontology,42,20,4.3,1,11
orphanet-ontology-of-rare-diseases,43,121,4.396694215,1,7
spatial-ontology,44,295,4.589830508,1,110
kinetic-simulation-algorithm-ontology,45,505,4.683168317,1,32
ontology-of-adverse-events-oae-,46,182,5.120879121,1,16
time-event-ontology,47,224,5.142857143,1,16
information-artifact-ontology,48,218,5.270642202,1,16
ontology-for-general-medical-science,49,168,5.398809524,1,14
ontology-for-parasite-lifecycle,50,528,5.429924242,1,32
neural-electromagnetic-ontologies,51,19,5.473684211,1,13
basic-vertebrate-anatomy,52,146,5.547945205,1,31
cereal-plant-gross-anatomy,53,238,5.621848739,1,16
skin-physiology-ontology,54,4,5.75,2,7
interaction-network-ontology,55,669,6.062780269,1,16
phenotypic-quality,56,290,6.796551724,1,58
family-health-history-ontology,57,665,7.103759398,1,22
cognitive-paradigm-ontology,58,423,7.373522459,1,16
bleeding-history-phenotype,59,100,7.47,1,16
emotion-ontology,60,759,7.641633729,1,32
nif-dysfunction,61,216,7.773148148,1,56
evidence-codes,62,821,9.024360536,1,100
nif-cell,63,709,9.844851904,1,72
neomark-oral-cancer-ontology,64,406,10.42857143,1,112
subcellular-anatomy-ontology-sao-,65,178,12.80337079,1,25
translational-medicine-ontology,66,202,12.95544554,1,130
nmr-instrument-specific-component-of-metabolomics-investigations,67,84,13.6547619,1,192
gene-regulation-ontology,68,770,13.80519481,1,500
software-ontology,69,43,14.72093023,1,134
eagle-i-research-resource-ontology,70,132,14.81060606,1,91
lipid-ontology,71,662,18.46978852,1,248
host-pathogen-interactions-ontology,72,508,20.91338583,1,500
ontology-for-drug-discovery-investigations,73,187,21.73262032,1,238
cao,74,100,26.52,1,499
international-classification-for-nursing-practice,75,249,28.85943775,1,314
fission-yeast-phenotype-ontology,76,10,37.8,1,167
bone-dysplasia-ontology,77,228,43.12280702,1,500
infectious-disease-ontology,78,32,200.65625,1,500
